Australe Scopuli,-83.48,247.06,504580.00,3396200.00,AA
Australe Sulci,-84.99,133.06,357910.00,3396200.00,AA
[Australis Patera],-80.09,308.30,12700.00,3396200.00,AA
[Australis Tholus],-58.70,37.00,40000.00,3396200.00,AA
Auxo Dorsum,-55.72,318.24,82050.00,3396200.00,AA
Avarua,-35.93,109.66,49990.00,3396200.00,AA
Aveiro,21.28,281.03,9110.00,3396200.00,AA
Avernus Cavi,-3.72,172.52,115000.00,3396200.00,AA
Avernus Colles,-1.73,171.02,238700.00,3396200.00,AA
Avernus Dorsa,-6.03,170.90,296590.00,3396200.00,AA
Avernus Rupes,-9.20,172.80,223320.00,3396200.00,AA
Avire,-40.82,200.24,6850.00,3396200.00,AA
Axius Valles,-54.53,70.72,435950.00,3396200.00,ME
Ayacucho,38.18,267.97,2590.00,3396200.00,AA
Ayr,-38.98,91.58,12740.00,3396200.00,AA
Azul,-42.07,317.49,19530.00,3396200.00,AA
Azusa,-5.48,319.68,39250.00,3396200.00,AA
Babakin,-36.00,288.56,76660.00,3396200.00,AA
Bacht,18.66,102.70,7860.00,3396200.00,AA
Bacolor,32.99,118.60,21580.00,3396200.00,AA
Bada,20.35,309.31,2520.00,3396200.00,AA
Baetis Chaos,-0.17,299.60,66660.00,3396200.00,AA
Baetis Chasma,-4.29,295.13,92210.00,3396200.00,AA
Baetis Mensa,-5.17,287.55,181100.00,3396200.00,AA
Bahn,-3.50,316.68,11930.00,3396200.00,AA
Bahram Vallis,20.42,302.86,269680.00,3396200.00,ME
Bak,18.05,103.78,3130.00,3396200.00,AA
Bakhuysen,-22.97,15.73,152900.00,3396200.00,AA
Balboa,-3.82,326.12,21950.00,3396200.00,AA
Baldet,22.76,65.48,181310.00,3396200.00,AA
Balta,-23.82,333.45,17280.00,3396200.00,AA
Baltia,59.71,310.00,0.00,3396200.00,AA
Baltisk,-42.27,305.34,50750.00,3396200.00,AA
Balvicar,16.20,306.76,20350.00,3396200.00,AA
Bamba,-3.36,318.41,22570.00,3396200.00,AA
Bamberg,39.71,356.90,55700.00,3396200.00,AA
Banff,17.51,329.29,5000.00,3396200.00,AA
Banh,19.42,304.50,14400.00,3396200.00,AA
Baphyras Catena,38.83,275.84,95520.00,3396200.00,AA
Bar,-25.25,340.50,2060.00,3396200.00,AA
